
ID;Cliente;Pto;Eta;Nave;Contenedor;Status;Sello;Med;Carga;PESO TOTAL;Terminal;Fecha Liberaci�n;Hora Liberaci�n;Fecha programaci�n;Hora Programaci�n;FECHA ARRIBO EN CD;Hora;CD;FechaDesg. (WHATSAPP/ Otawero);HoraDesg;FechaDev;EIR;Agencia;CiaNaviera / LINEA;DepDev;DiasLibres;DEMURRAGE;Sobrestadia Regi�n (x ciclo 2 horas);Sobreestadia (x ciclo de 4 hora);Description;Almc;Dias extras de almacenaje;E.CHASIS;TipodeServicio;ServicioAdicional;OBS 1;OBS 2;SERVICIO DIRECTO;FECHA ACT;HORA ACT;;;;;NAVES CON CONSIDERACI�N;;;;;;;;;;;;;;
41;WALMART;STI;09/08/2025;COSCO PACIFIC;CMAU 856072-6;FINALIZADO;M0881540;40 HC;11946;15446;STI;12-08-25;14:40;13/08/2025;15:00;13/08/2025;11:59;CD El Pe��n;13/08/2025;15:00;14/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;14/09/2025;;;HALLOWEEN DECOR;1;-9;0;Indirecto Deposito;N/A;;;;;;;;;;;;;;;;;;;;;;;;
42;WALMART;STI;09/08/2025;COSCO PACIFIC;TCNU 266890-4;FINALIZADO;M1111976;40 HC;10358,5;13859;STI;12-08-25;14:19;13/08/2025;13:00;13/08/2025;11:17;CD El Pe��n;13/08/2025;13:00;14/08/2025;SI;SERRANO;CMA-CGM;DYC SCL Walmart;6;14/09/2025;;;HALLOWEEN DECOR;1;-9;0;Indirecto Deposito;N/A;;;;;;;;;;;;;;;;;;;;;;;;
43;WALMART;STI;09/08/2025;COSCO PACIFIC;APZU 473972-3;FINALIZADO;M1061703;40 HC;10952;14452;STI;12-08-25;16:20;14/08/2025;17:00;14/08/2025;15:45;CD El Pe��n;14/08/2025;18:15;16/08/2025;SI;SERRANO;CMA-CGM;DYC SCL WalMart;6;14/09/2025;;;LAPTOP TABLE&CHAIRS & ST;2;-8;0;Indirecto Deposito;DEVOLUCION DIA SIGUIENTE;;;;;;;;;;;;;;;;;;;;;;;;
44;WALMART;STI;09/08/2025;COSCO PACIFIC;DRYU 419632-1;FINALIZADO;M1061743;40 HC;12116;15616;STI;12-08-25;8:46;13/08/2025;10:00;13/08/2025;9:12;CD El Pe��n;13/08/2025;10:00;14/08/2025;SI;SERRANO;CMA-CGM;DYC SCL WalMart;6;14/09/2025;;;LAPTOP TABLE&CHAIRS & ST;1;-9;0;Indirecto Deposito;N/A;;;;;;;;;;;;;;;;;;;;;;;;
45;WALMART;STI;09/08/2025;COSCO PACIFIC;FSCU 491996-2;FINALIZADO;M1061748;40 HC;13680;17180;STI;12-08-25;11:38;27/08/2025;10:00;27/08/2025;10:00;CD Puerto Madero;27/08/2025;13:00;27/08/2025;SI;SERRANO;CMA-CGM;DYC SCL WalMart;6;15/08/2025;;;LAPTOP TABLE&CHAIRS & ST;15;5;0;Indirecto Deposito;D�AS ALMACENAJE (5);;;;;;;;;;;;;;;;;;;;;;;;
46;WALMART;STI;09/08/2025;COSCO PACIFIC;APHU 731927-5;FINALIZADO;M1078989;40 HC;11081;14581;STI;12-08-25;16:14;14/08/2025;13:00;14/08/2025;10:54;CD El Pe��n;14/08/2025;20:00;16/08/2025;SI;SERRANO;CMA-CGM;DYC SCL WalMart;6;14/09/2025;;;PO NUMBER:213297;2;-8;0;Indirecto Deposito;DEVOLUCION DIA SIGUIENTE;;;;;;;;;;;;;;;;;;;;;;;;
47;WALMART;STI;09/08/2025;COSCO PACIFIC;CAIU 761715-1;FINALIZADO;M1094330;40 HC;11081;14581;STI;12-08-25;13:16;16/08/2025;6:00;15/08/2025;10:01;CD El Pe��n;16/08/2025;8:00;19/08/2025;SI;SERRANO;CMA-CGM;DYC SCL WalMart;6;15/08/2025;;;PO NUMBER:213297;4;-6;0;Indirecto Deposito;N/A;;;;;;;;;;;;;;;;;;;;;;;;
48;WALMART;STI;09/08/2025;COSCO PACIFIC;CMAU 478810-6;FINALIZADO;M1078985;40 HC;11081;14581;STI;12-08-25;9:02;16/08/2025;6:00;15/08/2025;10:07;CD El Pe��n;16/08/2025;8:00;18/08/2025;SI;SERRANO;CMA-CGM;DYC SCL WalMart;6;15/08/2025;;;PO NUMBER:213297;4;-6;0;Indirecto Deposito;N/A;;;;;;;;;;;;;;;;;;;;;;;;
49;WALMART;STI;09/08/2025;COSCO PACIFIC;CXDU 111802-5;FINALIZADO;M1078928;40 HC;11081;14581;STI;12-08-25;14:22;13/08/2025;17:00;13/08/2025;15:55;CD El Pe��n;13/08/2025;17:00;14/08/2025;SI;SERRANO;CMA-CGM;DYC SCL WalMart;6;14/09/2025;;;PO NUMBER:213297;1;-9;0;Indirecto Deposito;DEV SCL DIA SIGUIENTE;;;;;;;;;;;;;;;;;;;;;;;;
50;WALMART;STI;09/08/2025;COSCO PACIFIC;TCNU 572096-6;FINALIZADO;M1056249;40 HC;11081;14581;STI;12-08-25;16:08;27/08/2025;7:00;27/08/2025;7:00;CD Puerto Madero;27/08/2025;10:00;27/08/2025;SI;SERRANO;CMA-CGM;DYC SCL WalMart;6;15/08/2025;;;PO NUMBER:213297;15;5;0;Indirecto Deposito;D�AS ALMACENAJE (5);;;;;;;;;;;;;;;;;;;;;;;;
